Company Name,Website,Company Description,Industry,Founder Name,Founder LinkedIn ,Founded,Team Size,Location,Socials
Attunement,http://attunement.ai,Attunement is an automation workflow platform for psychiatric assessments.,"artificial-intelligence, workflow-automation, healthcare",Angie Muller,https://linkedin.com/in/angiemuller,2024,2,San Francisco,https://twitter.com/attunementai
Fume,https://fumedev.com,"We are building an AI software developer that can solve complex tasks, handling bugs, errors, and feature requests through Slack.","artificial-intelligence, developer-tools, b2b","Emre Gucer, Metehan Öz","https://linkedin.com/in/aegucer, https://linkedin.com/in/metehan-oz-a39981251",2024,2,San Francisco,https://linkedin.com/in/aegucer
Speck,https://paige.sh,"Speck is an AI frontend engineer that helps developers iterate faster on websites. Our customers use us to save hours on slow frontend development. Speck allows you to automate any web-based workflow easily without having any coding knowledge and helps you perform tasks such as data extraction, LinkedIn outreach, and more.","artificial-intelligence, developer-tools, b2b, web-development, ai","Lucas Jaggernauth, Raghav Pillai","https://linkedin.com/in/lucasjagg, https://linkedin.com/in/raghav-pillai",2023,2,San Francisco,https://discord.gg/speck
phospho,https://phospho.ai,"phospho aims to provide sdks, tutorials and hardware kits for real-world robotics in Python. The goal is to lower the barrier for entry to robotics so that everyone can start building intelligent robots.","artificial-intelligence, robotics","Pierre-Louis Biojout, Paul-Louis Venard","https://linkedin.com/in/pierre-louis-biojout-9509741aa, https://linkedin.com/in/paul-louis-venard-9269b5116",2023,4,San Francisco,https://twitter.com/phospho_ai
Givefront,https://givefront.com,"Givefront is a banking platform tailored for nonprofits. The platform provides simplified banking, efficient spend management, streamlined reporting, and effortless compliance, all in one place.",Financial Services,"Matt Tengtrakool, Ethan Sayre","https://linkedin.com/in/matt-tengtrakool, https://linkedin.com/in/ethansayre",2023,2,"San Francisco, CA, US / Remote (US)",https://www.linkedin.com/company/givehq
Maia,https://www.ourmaia.com/,"AI relationship app that keeps couples together. Maia helps couples connect more each day, offering daily activities, personalized advice, proactive insights, quizzes, and games through AI and relationship science.",Technology / AI / Relationship Management,"Claire Wiley, Ralph","https://www.linkedin.com/in/claire-wiley/, https://www.linkedin.com/in/ralphma/",2023,2,San Francisco,https://twitter.com/our_maia
Aqua Voice,https://withaqua.com,"Aqua is a voice-driven text editor. It lets you speak naturally, like to a person, and writes down what you meant in the format you want.","artificial-intelligence, generative-ai, nlp","Finnian Brown, Jack McIntire","https://linkedin.com/in/finn-brown-3b0b56113, https://www.linkedin.com/in/jack-mcintire-789bb223b/",2023,3,San Francisco,https://twitter.com/aquavoice_
Ultra,https://tryultra.org,"Ultra helps people navigate the most complex problems in their life: things like how to teach their kids, how to get into college, how to pick and break into a career. Our first vertical is college admissions.",Education,Oliver Zou,https://linkedin.com/in/oliver-zou,2024,2,"San Francisco, CA, US / Remote",https://linkedin.com/company/amber-ai/
MathDash,https://mathdash.com,"MathDash is an online live math-competition platform that gets students addicted to learning. Our target audience already spends thousands of hours doing math questions competitively, and we've already gotten the best of the best to switch to doing problems on our site.",Education,"Daniel Sun, Akshaj Kadaveru","https://linkedin.com/in/daniel-sun-440493171, https://linkedin.com/in/akshaj-kadaveru",2024,2,N/A,N/A
Apriora,https://www.apriora.ai,"Apriora conducts live interviews with an AI recruiter. Companies use us to get the best hiring signal on their applicant pool and hire in a fraction of the time. Our AI recruiter has a live conversation over a video call with each of your candidates based on the interview questions you choose or that are recommended based on the job description. During the interview, our AI asks personalized follow-up questions in real-time based on the candidate's responses.","artificial-intelligence, saas, b2b, recruiting, hr-tech","Aaron Wang, John Rytel","https://linkedin.com/in/aaronjwang, https://linkedin.com/in/john-rytel-955436221",2023,5,San Francisco,https://www.linkedin.com/company/apriora/
