Company Name,Website,Company Description,Industry,Founder Name,Founder LinkedIn ,Founded,Team Size,Location,Socials
VideoGen,https://videogen.io,AI that can create and edit professional videos,"artificial-intelligence, generative-ai, saas, video","Anton Koenig, David Grossman","https://linkedin.com/in/antonckoenig, https://linkedin.com/in/dg314",2023,5,San Francisco,https://www.linkedin.com/company/videogen
ACX,https://www.acxtherapeutics.com/,"ACX is the only company that has successfully recreated synthetically the compounds that bacteria use to kill microbes for therapeutic development. Our patentable technology has applications in humans, animals, and crops. We are beginning with the elimination of crop pathogens—harmful to pests but beneficial for humans!","synthetic-biology, biotech, healthcare, agriculture, drug-discovery","Emmanouela Petsolari, Melina Petsolari","https://www.linkedin.com/in/emmanouelapetsolari, https://www.linkedin.com/in/melina-petsolari-a03915298",2024,2,San Francisco,https://www.linkedin.com/company/acxtherapeutics/
Biocartesian,https://www.biocartesian.com,"Converting biology into digital molecular maps, combining microscopy and new chemistries to see 50X more molecules, offering insights into disease biology and new therapies.","hard-tech, b2b, biotech, diagnostics, drug-discovery","Ian Dardani, Jess Li","https://www.linkedin.com/in/ian-dardani, https://www.linkedin.com/in/jessxli/",2023,2,San Francisco,https://www.linkedin.com/company/biocartesian
Parley,https://parley.so,"Automating flat-fee legal work, starting with work visas + green cards. Parley automates flat-fee legal work using LLM’s, starting with visa applications for immigration lawyers. Currently, immigration lawyers spend 20+ hours putting together writing-intensive work visas and green cards. We integrate directly into a lawyer's workflow and do all the reading, writing, and compiling — which is 80% of the work required to file a visa application.","Artificial Intelligence, SaaS, Legal, LegalTech, Immigration","Philip Smart, Ian Edwards, Jackson Perry","https://linkedin.com/in/phildsmart, https://linkedin.com/in/ian-edwards, https://linkedin.com/in/jackson-perry",2024,3,San Francisco,https://linkedin.com/company/parley-immigration/
Bucket Robotics,https://bucket.bot,Defect detection for manufacturing built from CAD and synthetic data.,Manufacturing,"Matt Puchalski, Steph Wolski","https://www.linkedin.com/in/matt-puchalski/, https://www.linkedin.com/in/stephan-wolski/",2024,2,"San Francisco, CA, US",https://www.linkedin.com/company/bucketrobotics/
AutoPallet Robotics,https://autopallet.bot,"We make robots that move boxes in warehouses. We’re building the next generation of warehouse robotics, providing a low-cost and robust automation solution for case picking and mixed-SKU palletization.","hard-tech, machine-learning, warehouse-management-tech, swarm-robotics, automation","Nathan Yee, Eric Miller","https://www.linkedin.com/in/nathanielyee/, https://www.linkedin.com/in/olin-eric/",2024,3,San Francisco,https://www.linkedin.com/company/autopallet-robotics/
Entangl,https://www.entangl.ai/,"Automating hardware design end-to-end without errors. Entangl is automating engineering design. Starting with datacenter design, our AI agent automatically detects issues while engineering teams work. For each issue detected, Entangl suggests a detailed step-by-step solution.","artificial intelligence, aerospace, enterprise software, automation, automotive","Shapol M, Antanas Zilinskas","https://www.linkedin.com/in/shapol, https://www.linkedin.com/in/antanaszilinskas",2024,3,San Francisco,https://www.linkedin.com/company/entangl
Formula Insight,https://www.formulainsight.io/,"Formula Insight offers Institutional Investors previously inaccessible data. We provide a central repository of financial models so investors can track changes to forecasts, quantify projection accuracy and expedite analysis. This further systematizes the investment process and enables better investment decisions.","fintech, saas, b2b, workflow-automation, enterprise-software","Will Tong, Stefan Raghavan","https://www.linkedin.com/in/will-tong-04046a162/, https://www.linkedin.com/in/stefan-raghavan-957204a1/",2024,2,New York,https://www.linkedin.com/company/formula-insight/
Unsloth AI,https://unsloth.ai/,"Unsloth helps builders create custom models better & faster. We're developing the all in one solution to help you create highly-accurate custom models 30x faster with 90% less memory use. With over 8 million monthly model downloads and 15K GitHub stars, our mission is to make fine-tuning and open-source the best it can be!",Open Source AI/ML,"Daniel Han, Michael Han","https://linkedin.com/in/danielhanchen, https://linkedin.com/in/michaelhan3",2023,2,"San Francisco, CA, US",https://twitter.com/UnslothAI
Midship,https://midship.ai/,"We extract and organize structured data from documents, such as PDFs, excel sheets for non-engineers. Midship eliminates the time-consuming manual process of data entry by extracting data into standardized formats.","documents, b2b, ai, ai-assistant","Kieran Taylor, Aahel Iyer, Max Maio","https://www.linkedin.com/in/kieranctaylor, https://www.linkedin.com/in/aahel-iyer-221999120/, https://www.linkedin.com/in/max-maio-897514195/",2024,3,San Francisco,https://www.linkedin.com/company/midshipinc/
